Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,Water Intensive (based on Etp)
4785.711704,35.9,Kharif Crop,1,448,513,44,0.095291979,0.83633081,393,Ong,1207,,,0,10384,12905,IRRIGATED,2022,1
4069.168385,30.5,Double Crop Kharif/Zaid,5,855,1019,213,0.095291979,0.83633081,633,Ong,1272,,,0,13787,16439,IRRIGATED,2022,1
597.4153494,4.5,Perennial Crops,8,1036,1189,241,0.095291979,0.83633081,783,Ong,1460,,,0,18323,20254,IRRIGATED,2022,1
1596,13.6,Paddy,2,212,244,0,,,211,Ong,1158,0.954352676,0.414199994,1,4793,,RAINFED,2018,
490.6895275,4.2,Class1,31,217,246,0,,,215,Ong,1255,0.900919458,0.423289214,1,5039,,RAINFED,2018,
327.2693356,2.8,Class4,34,225,302,0,,,217,Ong,1303,0.928542744,0.493141234,1,5071,,RAINFED,2018,
611.3278898,5.9,Paddy,2,202,220,0,,,192,Ong,51,0.954413654,0.917887444,2,5126,,RAINFED,2018,
524.9981207,5,Class1,31,195,206,0,,,190,Ong,51,0.910558928,0.908988659,2,4683,,RAINFED,2018,
368.6011065,3.5,Class4,34,238,320,0,,,224,Ong,57,0.923935753,0.909440582,2,6439,,RAINFED,2018,
1871.195756,14,Paddy,2,180,210,0,,,182,Ong,1038,0.934938835,0.325835692,1,3281,,RAINFED,2019,
1024.757396,7.7,Class1,31,191,228,0,,,185,Ong,1132,0.919275362,0.352327972,1,3474,,RAINFED,2019,
2611.019708,19.6,Class4,34,197,234,0,,,190,Ong,1208,0.930956747,0.363609578,1,3496,,RAINFED,2019,
978.7334558,7.6,Paddy,2,184,212,0,,,175,Ong,94,0.936646372,0.933074208,2,5081,,RAINFED,2019,
1159.529187,9,Class1,31,188,276,0,,,181,Ong,93,0.925152601,0.902502552,2,5125,,RAINFED,2019,
2096.690721,16.2,Class4,34,237,318,0,,,220,Ong,98,0.9284987,0.853654285,2,6684,,RAINFED,2019,
2373.118032,22.6,Paddy,2,173,244,0,,,202,Ong,1146,0.948586775,0.535669608,1,2659,,RAINFED,2020,
905.2144999,8.6,Class1,31,202,288,0,,,220,Ong,1305,0.897888551,0.54220803,1,2991,,RAINFED,2020,
205.0531501,2,Class4,34,217,298,0,,,227,Ong,1376,0.920590147,0.626136297,1,3254,,RAINFED,2020,
847.0538295,8.8,Paddy,2,199,248,0,,,190,Ong,94,0.948697382,0.922534361,2,4286,,RAINFED,2020,
886.035186,9.2,Class1,31,215,268,0,,,208,Ong,92,0.903126931,0.902761469,2,4724,,RAINFED,2020,
177.9207726,1.8,Class4,34,255,338,0,,,240,Ong,100,0.922761567,0.896320628,2,5733,,RAINFED,2020,
2209.563326,24.9,Paddy,2,143,194,0,,,152,Ong,756,0.944301961,0.391625438,1,2449,,RAINFED,2021,
889.4023935,10,Class1,31,142,202,0,,,151,Ong,799,0.904063163,0.359477497,1,2492,,RAINFED,2021,
347.7133857,3.9,Class4,34,158,220,0,,,159,Ong,890,0.934670801,0.384683147,1,2710,,RAINFED,2021,
540.8361471,6.3,Paddy,2,205,262,0,,,194,Ong,87,0.944089184,0.921257269,2,4665,,RAINFED,2021,
752.4332881,8.8,Class1,31,207,292,0,,,199,Ong,88,0.908927857,0.908008313,2,4793,,RAINFED,2021,
188.5286736,2.2,Class4,34,242,308,0,,,228,Ong,98,0.935734195,0.923034938,2,5941,,RAINFED,2021,
3518.24309,26.5,Paddy,2,193,238,0,,,195,Ong,990,0.944052553,0.426387603,1,3581,,RAINFED,2022,
791.5888102,6,Class1,31,206,248,0,,,210,Ong,1193,0.895048821,0.491476495,1,3955,,RAINFED,2022,
854.0389756,6.4,Class4,34,217,270,0,,,211,Ong,1206,0.920556176,0.461466788,1,4095,,RAINFED,2022,
1669.093914,13.4,Paddy,2,200,250,0,,,192,Ong,120,0.944324078,0.931576905,2,5419,,RAINFED,2022,
935.3514569,7.5,Class1,31,204,266,0,,,200,Ong,118,0.920302242,0.89486402,2,5466,,RAINFED,2022,
860.1491148,6.9,Class4,34,254,344,0,,,238,Ong,128,0.934225732,0.902899785,2,7079,,RAINFED,2022,
2248.574085,19.1,Kharif Crop,1,388,469,0,,,377,Ong,1301,,,0,8815,,RAINFED,2018,
10.83452999,0.1,Double Crop Kharif/Rabi,4,418,569,0,,,394,Ong,1184,,,0,9845,,RAINFED,2018,
44.94227648,0.4,Double Crop Kharif/Zaid,5,733,1003,0,,,632,Ong,1363,,,0,11556,,RAINFED,2018,
122.0393288,1,Perennial Crops,8,1012,1185,0,,,806,Ong,1513,,,0,19070,,RAINFED,2018,
13.13522501,0.1,Other Irrigated (High Water Intensive),14,340,388,0,,,210,Ong,1296,,,1,6662,,RAINFED,2018,
54.42986862,0.5,Other Irrigated (Less Water Intensive),15,266,308,0,,,209,Ong,1264,,,1,5810,,RAINFED,2018,
1586.749372,13.5,Other Unirrigated,17,221,264,0,,,213,Ong,1247,,,1,4919,,RAINFED,2018,
33.87761543,0.3,Other Irrigated (Less Water Intensive),15,260,344,0,,,222,Ong,57,,,2,7359,,RAINFED,2018,
1321.155048,12.7,Other Unirrigated,17,193,212,0,,,186,Ong,50,,,2,4657,,RAINFED,2018,
23.21412327,0.9,Other Irrigated (High Water Intensive),14,290,577,0,,,182,Ong,59,,,3,2281,,RAINFED,2018,
7.854807424,0.3,Other Irrigated (Less Water Intensive),15,147,370,0,,,118,Ong,32,,,3,1338,,RAINFED,2018,
53.55774763,2,Other Unirrigated,17,258,329,0,,,219,Ong,50,,,3,2748,,RAINFED,2018,
4.089816318,0.2,Class1,31,239,456,0,,,189,Ong,56,,,3,1963,,RAINFED,2018,
55.82565243,2.1,Class4,34,407,529,0,,,291,Ong,95,,,3,3451,,RAINFED,2018,
2020.156373,14.8,Kharif Crop,1,369,469,0,,,357,Ong,1214,,,0,8102,,RAINFED,2019,
39.7359765,0.3,Rabi Crop,2,246,606,0,,,227,Ong,115,,,0,5780,,RAINFED,2019,
42.77574485,0.3,Double Crop Kharif/Rabi,4,351,473,0,,,324,Ong,1012,,,0,7588,,RAINFED,2019,
279.8173172,2.1,Double Crop Kharif/Zaid,5,663,811,0,,,595,Ong,1410,,,0,11485,,RAINFED,2019,
738.9094244,5.4,Perennial Crops,8,934,1057,0,,,778,Ong,1519,,,0,18414,,RAINFED,2019,
17.89848616,0.1,Other Irrigated (High Water Intensive),14,329,408,0,,,180,Ong,1201,,,1,4883,,RAINFED,2019,
103.4892747,0.8,Other Irrigated (Less Water Intensive),15,223,272,0,,,183,Ong,1176,,,1,3932,,RAINFED,2019,
851.1217293,6.4,Other Unirrigated,17,182,226,0,,,181,Ong,1098,,,1,3267,,RAINFED,2019,
115.7022041,0.9,Other Irrigated (Less Water Intensive),15,287,346,0,,,240,Ong,99,,,2,8476,,RAINFED,2019,
634.2227402,4.9,Other Unirrigated,17,175,216,0,,,173,Ong,92,,,2,4632,,RAINFED,2019,
60.95088097,0.7,Other Irrigated (High Water Intensive),14,360,525,0,,,238,Ong,117,,,3,5007,,RAINFED,2019,
51.87816276,0.6,Other Irrigated (Less Water Intensive),15,160,404,0,,,130,Ong,61,,,3,2208,,RAINFED,2019,
130.8913585,1.6,Other Unirrigated,17,281,368,0,,,246,Ong,101,,,3,3643,,RAINFED,2019,
