system:index,Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,.geo
2_0000000000000000000a,224.7888073979545,1.7,Other Irrigated (Less Water Intensive),15,280,304,65,0.13123189100161747,0.6413610654045564,212,Ong,1216,,,1,5013,5306,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000000,4785.711703859355,35.9,Kharif Crop,1,448,513,44,0.09529197941957057,0.8363308104946219,393,Ong,1207,,,0,10384,12905,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000003,4069.1683853299755,30.5,Double Crop Kharif/Zaid,5,855,1019,213,0.09529197941957057,0.8363308104946219,633,Ong,1272,,,0,13787,16439,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000005,597.4153494179369,4.5,Perennial Crops,8,1036,1189,241,0.09529197941957057,0.8363308104946219,783,Ong,1460,,,0,18323,20254,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000009,1596.0865662609854,13.6,Paddy,2,212,244,0,,,211,Ong,1158,0.9543526761995411,0.4141999938312242,1,4793,,RAINFED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000010,490.6895275464317,4.2,Class1,31,217,246,0,,,215,Ong,1255,0.9009194575577062,0.4232892137282442,1,5039,,RAINFED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000012,327.26933558292455,2.8,Class4,34,225,302,0,,,217,Ong,1303,0.9285427444500186,0.4931412338198654,1,5071,,RAINFED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000014,611.3278897975722,5.9,Paddy,2,202,220,0,,,192,Ong,51,0.9544136535200107,0.9178874435806135,2,5126,,RAINFED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000019,524.9981206915519,5.0,Class1,31,195,206,0,,,190,Ong,51,0.910558928164926,0.9089886587713261,2,4683,,RAINFED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_0000000000000000001b,368.6011065488236,3.5,Class4,34,238,320,0,,,224,Ong,57,0.9239357527752267,0.909440582304623,2,6439,,RAINFED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000000e,1871.1957558742301,14.0,Paddy,2,180,210,0,,,182,Ong,1038,0.9349388351948522,0.32583569244909205,1,3281,,RAINFED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000015,1024.7573964617382,7.7,Class1,31,191,228,0,,,185,Ong,1132,0.9192753621169459,0.3523279721721172,1,3474,,RAINFED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000017,2611.0197078524147,19.6,Class4,34,197,234,0,,,190,Ong,1208,0.9309567472201753,0.3636095776692845,1,3496,,RAINFED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
